feature_id	SRR14935707	SRR14935708	SRR14935709	SRR14935710	SRR14935703	SRR14935704	SRR14935705	SRR14935706
SORBI_3001G028000	194	232	131	178	260	132.444	77	165
SORBI_3001G028100	2245.83	3837.22	1789.088	1642.552	341.074	1803.077	2648.133	251
SORBI_3001G028200	21	23.043	9.932	35.014	13	11	13	10
SORBI_3001G028301	0	1	0	0	0	0	1	0
SORBI_3001G028400	784.562	786.411	657.157	775.189	661.71	641	822.934	560
SORBI_3001G028500	1256.438	1602.588	355.843	1112.818	559.291	299	497.225	301
SORBI_3001G028600	4	3	4.001	4	23	1	2	2
SORBI_3001G028700	213	251	212	252	229	147.002	259.001	104
SORBI_3001G028800	653	1022	887	744	680.358	192	611	85.003
SORBI_3001G028900	80	68	48	28	62	38	56	11
SORBI_3001G029000	58	56	43	37	32	34	55	33
SORBI_3001G029100	20	19	6	23	2	7	6	0
SORBI_3001G029200	4511.627	4732	2383.718	4041.556	2739.678	2168.812	3167.39	1555
SORBI_3001G029300	0	0	0	0	0	0	0	0
SORBI_3001G029400	164	189	138	164	145	140	137	94
SORBI_3001G029500	0	0	0	0	5	0	0	2
SORBI_3001G029600	1	3	1	3	0	3	4	0
SORBI_3001G029700	0	0	0	0	0	0	0	0
SORBI_3001G029800	1	3	1	5	4	1	3	1
SORBI_3001G029900	38	50	39	69	48	21	22	28
SORBI_3001G030000	1243.907	1296.994	801	1137.012	821	950	1049.496	754
SORBI_3001G030100	18	6	12	8	9	4	12	1
SORBI_3001G030200	2	6	1	33	0	5	7	2
SORBI_3001G030300	227.208	247	170	188	124	181	349	105
SORBI_3001G030400	85	91	117	93	49	186	127	44
SORBI_3001G030500	42	60	19	67	13	10	18	1
SORBI_3001G030600	10	26	18	25	6	5	6	0
SORBI_3001G030800	0	0	0	0	0	0	0	0
SORBI_3001G030900	0	0	0	0	0	0	0	0
SORBI_3001G031000	0	0	0	0	0	0	0	0
SORBI_3001G031100	384.57	601	295	418	264	330	482	189
SORBI_3001G031200	222.137	337	114	199.073	115	129	157.004	86
SORBI_3001G031300	383.289	501	214	363.838	196	213.063	270	146
SORBI_3001G031400	32	43	37	35	33	18	49	13
SORBI_3001G031500	1	1	0	1	1	0	4	1
SORBI_3001G031600	760	613	709.033	662.003	756	574.341	687	565
SORBI_3001G031700	15	2	44	26	79	28	34	126
SORBI_3001G031800	42.507	54.025	50.304	35.696	33.89	41.166	31.472	13.983
SORBI_3001G031900	452.493	446.975	318.696	390.304	339.11	283.052	467.67	293.017
SORBI_3001G032000	71	75	278	100	495	44	251	876
SORBI_3001G032100	205	286	290	345.204	456	145	256.269	529
ENSRNA049468937	1	0	0	0	0	0	0	1
SORBI_3001G032200	304	338	129	229	146	206.022	286	127
SORBI_3001G032300	402	357	420	266	302	183	248.974	157
SORBI_3001G032400	199	141	77	139	59	85	97	8
SORBI_3001G032550	32	37	9	24	13	12	25	9
SORBI_3001G032700	78.001	79	44.998	67	28.999	48.998	86.998	21.998
SORBI_3001G032800	797.393	1219	459.997	889.518	435	615.912	651	345
SORBI_3001G032850	0	0	0	0	0	0	0	0
SORBI_3001G032900	88.676	76	15	46.021	29	46	22	12
SORBI_3001G033000	49	90	54	60	24	48	60	46
SORBI_3001G033100	740	808	281	600.678	137	475.97	638.002	117
SORBI_3001G033200	761.289	744.986	477	684.185	541	409	359.024	652
SORBI_3001G033300	1	7	3	1	0	1	0	1
SORBI_3001G033400	283.009	305	175.239	305.986	103	157.009	175	153
SORBI_3001G033500	337	292	288	332.96	332	262.923	375.973	243
SORBI_3001G033600	28	32	17	16	9	26	33	11
SORBI_3001G033701	1	0	0	1	2	0	1	1
SORBI_3001G033800	0	0	1	0	0	0	0	0
SORBI_3001G033900	58.001	38	32.961	39	32	48	58	31
SORBI_3001G034000	60.193	79	26	40	41	34	55.018	17
SORBI_3001G034050	0	0	0	0	0	0	0	0
SORBI_3001G034100	909	744	2081.307	1231.029	2307	1149.967	782.536	2913
SORBI_3001G034200	0	0	0	0	0	0	0	0
SORBI_3001G034300	75	36	57	70	37	23	37	57
SORBI_3001G034400	0	0	0	0	0	0	0	0
SORBI_3001G034500	1171.732	1132	612	881.951	516	955.969	851.509	367
SORBI_3001G034600	206	217	187.988	164	191	171	231.212	114
ENSRNA049444240	0	0	0	0	0	0	0	0
SORBI_3001G034700	9317.168	8455	6689.434	8536.506	6151.053	5958.798	10104.748	6280.054
SORBI_3001G034900	50	41	95	290	31	42	144	23
SORBI_3001G035000	990.405	1405	908	1331.977	1081	825.344	770.922	2207
SORBI_3001G035100	115	82	246	151	252	109	96	342
SORBI_3001G035200	582.998	560	477.641	568.021	409	495.885	598.091	397
SORBI_3001G035300	1	1	0	0	1	0	0	0
SORBI_3001G035400	860.995	918	630.034	759.019	569	697.584	1040	451
SORBI_3001G035450	4	7	8.002	3	11.001	2.001	6	3
SORBI_3001G035500	2089.047	1947	2154.999	2277.183	2680.001	1697.905	1835.203	1890.99
SORBI_3001G035600	907	1181	688	625.929	905	262.387	153	338
SORBI_3001G035700	1	0	0	0	0	0	0	0
SORBI_3001G035800	26	12	11	9	19	4	6	7
SORBI_3001G035900	261.007	336	193	294.998	201	173	299.792	111.768
SORBI_3001G036050	505.061	433	313	415.072	347	386	468.082	232
SORBI_3001G036200	4	7	12	5	11	1	13	7
SORBI_3001G036300	338.256	388	264	316	236	243	295	197
SORBI_3001G036400	0	0	0	0	0	0	0	0
SORBI_3001G036600	0	0	0	0	0	0	0	0
SORBI_3001G036700	66	130	45	63	47	54	66	36
SORBI_3001G036800	251.013	261.88	225.675	236.734	158.71	130.655	230.606	164.494
SORBI_3001G036900	1379.616	1937	844.544	1158	676	1257.003	2012.295	607
SORBI_3001G037000	249	316	322	204.94	290	133	195	251
SORBI_3001G037033	0	0	0	0	0	0	0	0
SORBI_3001G037066	0	0	0	0	1	0	0	0
SORBI_3001G037100	3262.738	2740	2359.864	2787.116	2537	2627.422	2619.937	1873
SORBI_3001G037150	1	7	2	8	2	2	5	2
SORBI_3001G037200	3	2	1	6	2	3	2	0
SORBI_3001G037300	7	6	4	13	5	3	2	3
SORBI_3001G037400	2	6	0	0	1	1	0	0
SORBI_3001G037500	93	89	50	88	61	67	83	63
SORBI_3001G037550	0	0	0	0	0	0	0	0
SORBI_3001G037600	1	1	3	1	5	0	2	4
SORBI_3001G037700	0	0	0	0	0	0	0	0
SORBI_3001G037800	148	151	109	142	130	69	85	61
SORBI_3001G037900	669.011	687.092	278	497.886	133	467	524	123
SORBI_3001G038000	643.002	399	1177.01	732.001	1743	874.998	1054	2003.001
SORBI_3001G038050	0	0	0	0	0	0	0	0
ENSRNA049468928	0	0	0	0	0	0	0	0
SORBI_3001G038100	219	232	151	220	171	119	192	148
SORBI_3001G038200	1000.971	727.904	864.442	691.105	607	840	1058	796
SORBI_3001G038300	51	129	54	49	56	42	45	119
SORBI_3001G038400	1	6	1	0	2	0	1	4
SORBI_3001G038450	0	0	0	0	0	0	0	0
ENSRNA049997145	0	0	0	0	0	0	0	0
SORBI_3001G038500	161	129	275	278	285	62	96.006	122
SORBI_3001G038601	2	1	0	0	0	0	1	0
SORBI_3001G038700	22	51	12.007	26.122	29	10	19	34.068
