feature_id	SRR33083344	SRR33083345	SRR33083338	SRR33083351	SRR33083339	SRR33083340	SRR33083352	SRR33083346	SRR33083347	SRR33083355	SRR33083354	SRR33083353	SRR17385284	SRR17385295	SRR17385296	SRR17385300	SRR17385302	SRR17385301
TraesCS4A02G203800	44.288305	38.903434	39.823432	65.461349	62.925038	62.929856	27.665581	31.451335	36.618792	37.335196	33.194639	33.054355	69.13429	44.264843	40.580376	48.404836	65.15959	57.321945
TraesCS4A02G203900	3.366117	3.673025	3.073683	3.635087	3.470792	3.986114	5.890553	6.964448	6.352275	7.477967	6.136726	5.742038	2.73428	2.788226	2.923698	2.705171	3.031103	5.227805
TraesCS4A02G204000	5.163765	6.347348	5.772271	7.279999	7.190629	7.597582	8.596788	8.014013	7.57987	9.850346	9.762986	9.683998	7.8864	7.747371	7.467991	8.466899	8.283541	7.889066
TraesCS4A02G204100	5.035444	3.546815	3.956033	5.779317	5.155135	5.558077	4.179177	4.252062	4.850122	5.708023	5.595904	5.987796	5.931202	5.772041	5.218309	6.338712	7.160188	8.609252
TraesCS4A02G204300	5.385014	5.019872	5.337554	6.52765	6.798951	5.788708	5.880274	5.493869	6.298912	6.08677	7.424559	6.765923	7.000799	6.400218	5.600929	6.47678	7.582569	6.769934
TraesCS4A02G204400	5.781431	6.922182	6.1097	8.079751	6.383798	5.521141	8.923418	9.139872	8.395876	6.476353	8.780669	8.667756	7.129811	9.183501	7.254742	8.468654	8.738571	8.399091
TraesCS4A02G204500	13.633127	13.148731	14.578104	15.874656	14.592594	16.422342	8.418856	9.546178	11.348217	12.265623	10.904033	9.654141	20.537561	19.025862	18.373653	17.769639	20.955511	19.73283
TraesCS4A02G204600	13.433043	12.843225	13.616387	12.780161	11.863819	12.537072	9.330575	8.648721	8.880145	9.562245	9.606133	8.483638	12.433849	14.002763	13.913548	14.259142	13.298199	14.841999
TraesCS4A02G204700	0.257835	0.348936	0.306617	0.390806	0.287397	0.386388	0.598589	0.66407	0.467752	0.66534	0.59175	0.815185	0.321069	0.293669	0.30522	0.408575	0.225879	0.44136
TraesCS4A02G204800	1.703284	2.094877	1.627094	2.937463	3.024913	3.217188	6.405498	7.30822	6.652138	4.441612	5.025667	6.338214	2.716853	1.040608	1.08043	0.860819	2.416625	1.557462
TraesCS4A02G204900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G205000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G205100	1.62589	2.648995	2.027511	0.939349	0.798433	0.834013	1.908445	2.052673	1.773796	1.055906	1.108825	1.208134	0.591423	0.461745	0.345628	0.697001	0.636014	0.325701
TraesCS4A02G205200	0	0.050322	0	0.076155	0	0	0	0.131376	0	0.027564	0.29651	0.320286	0	0	0	0.022402	0	0
TraesCS4A02G205300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
