feature_id	SRR26553585	SRR26553586	SRR26553587	SRR26553588	SRR26553594	SRR26553593	SRR2545903	SRR2545902	SRR2545899	SRR2545898	SRR2545901	SRR2545900	SRR2545897	SRR2545896
GLYMA_09G178500	201.003	257.11	201.999	186.008	195.696	214	256.903	318.458	281.504	319.49	308.452	311.413	376.245	323.318
GLYMA_09G178600	5	7	7	12	12	10	7	7	7	5	5	4	2	5
GLYMA_09G178700	0	0	0	0	0	0	0	0	0	0	1	1	1	1
GLYMA_09G178800	0	0	0	0	0	0	0	3	0	0	0	1	1	0
GLYMA_09G178900	24	33	24	25	22	25	3	3	0	2	4	3	1	1
GLYMA_09G179000	784.051	783.947	534.131	641.458	817.396	893.355	411	328.021	347.269	418	445	403	509.534	569
GLYMA_09G179100	0	0	0	0	0	2	8	18	18	10.99	12	26	17	22.996
GLYMA_09G179200	233.433	249.146	168	162.524	200.472	238	142	142	130.989	158.019	160	184	174	180
GLYMA_09G179300	702.653	582.034	653.659	421.192	546.034	589.727	495.993	556.997	565.002	570.994	627.994	586.011	625.959	621.997
GLYMA_09G179400	96	1410.133	971.861	574.636	92	142	2206.078	2168	701	656.013	2018	1460.924	772	795
GLYMA_09G179500	817.184	713.687	556.424	505.272	802.912	816.364	887.449	990.732	824.75	943.11	1036.727	1020.871	921	870.002
GLYMA_09G179600	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_09G179700	0	0	0	1	0	0	89	54	59	60	88	50	60	69
GLYMA_09G179800	0	0	0	0	0	0	43	83	49	40	60	53	51	38
GLYMA_09G179900	1	71.018	18.013	91	3	4	1374	1772	2823.411	3193	1417	1604.541	2734.381	2964
GLYMA_09G180000	307.274	102.509	93.996	22	139	122.002	0	0	0	0	0	0	0	0
GLYMA_09G180100	55	85	131.906	66.018	32	47.996	831.174	803.24	916.002	1387.446	1023.636	957.162	827	1114
GLYMA_09G180200	49	56	58	48.001	40.001	30.02	42.999	24	33	28	31	37.805	43	33
GLYMA_09G180300	506.621	624.343	352.444	402.008	398.892	548.03	341.726	414.145	375.003	340.003	396.008	453.017	447.709	365.685
GLYMA_09G180400	159.579	112	83	101.537	150.28	224	168	151	139	151	160	185.138	156	185
GLYMA_09G180500	7	6	3	7	5	7.001	3.767	1	5	5	3.3	3	3	3
GLYMA_09G180600	15	15	14	6	12	12	1	1	0	1	1	0	0	1
GLYMA_09G180700	3	0	0	0	1	0	3	1	11	13	2	3	13	17
GLYMA_09G180800	73	53.546	119	76.247	60	27.025	1187.668	1155	1961	2589.187	1360.045	1005.707	1757.94	2520.871
GLYMA_09G180900	0	0	5	5	0	1	0	3	4	1	0	0	0	0
GLYMA_09G181000	3	6	18	6	2	3	47	37	42	48	39	39	44	61
GLYMA_09G181100	41	236	453.822	173	50	25	4522.879	4734.338	4919.957	6351.915	4294.999	3921.779	5393.905	5582.975
GLYMA_09G181200	195.216	46	44.04	49.001	123.005	158	97.664	150.836	155.98	150.521	159.733	204.624	167.642	178.301
GLYMA_09G181300	621.085	420.685	225.742	407.121	645.111	699.065	729.264	841	867	1137.68	885	755	894.069	1149.11
GLYMA_09G181400	392.048	1625.399	951.73	1038.44	503.974	391.001	1352	1371.524	68	58	1889	1509	84.992	94.001
GLYMA_09G181500	6	36	31	27	5	1	0	0	0	0	1	0	0	0
GLYMA_09G181600	463.99	302.627	182.144	419.317	515.118	549.211	3040.344	3110.731	998.026	1281.92	2982.012	2875.019	1068.691	1251.692
GLYMA_09G181700	19.305	14.292	0	48.352	0	30.236	5.672	66.691	0	2.63	114.56	86.563	0	0
GLYMA_09G181800	670.597	306	98.445	99	575.291	558.126	16	9	2	2	11	14	7	3
GLYMA_09G181900	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_09G182000	231.947	163.347	120.126	333.692	270.515	245.548	3252.617	3591.858	599.866	741.896	3628.357	3270.675	659.488	718.838
GLYMA_09G182100	9.815	14.655	10.508	4.354	14.139	22.173	32.024	50.733	17.564	12.829	97.59	50.075	21.06	8.149
GLYMA_09G182200	110.792	93.429	57.996	155.073	100.001	111.986	2292.37	2715.354	172.031	241.171	2475.211	2336.427	221.824	267.47
GLYMA_09G182300	2	1	0	4	5	2	0	0	0	0	0	0	0	0
GLYMA_09G182400	44.022	49	20	502.064	62	101	1552.897	1517	356	299	1786.001	1785	409.026	417
GLYMA_09G182500	6	5	2	4	1	0	5	8	11	4.993	12	16	10	16
GLYMA_09G182600	406.304	742.226	366.168	923.88	446.9	402.029	204.584	340.134	201.351	301.27	270.979	328.591	300.239	375.768
GLYMA_09G182700	1025.208	677.818	353.401	475.932	756.869	810.738	600.416	729.515	455.244	562.598	790.384	686.075	507.452	581.854
GLYMA_09G182800	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_09G182900	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_09G183000	0	0	3	0	0	2	7	7	17	28	3	12	33	34
GLYMA_09G183100	209.689	184.671	164.354	161.099	159	212.352	324.044	307.875	291.972	359.884	367.779	372.245	382.663	354.938
GLYMA_09G183200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_09G183300	924.728	828.542	904.476	946.447	870.833	899.707	1901.441	1962.982	2037.871	1926.391	2073.823	2430.101	2489.427	2195.979
GLYMA_09G183400	0	0	0	0	0	0	12	21	14	15	16	32	52	41
GLYMA_09G183500	2	4	6	12	7	12.003	0	3	3.001	2	2	4.06	6.001	5.136
GLYMA_09G183600	1151.496	705.511	418.928	517.432	984.596	900.008	405.436	491.074	531.456	682.948	547.348	508.404	637.218	634.513
GLYMA_09G183700	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_09G183800	602	229.276	153	186.757	615.908	789.433	834.255	782.681	446.112	522.833	1028.254	947.641	534.902	532.92
GLYMA_09G183900	1551.684	1760.802	1245.434	1178.976	1033.764	1065.272	234.708	241.65	281.956	323.517	376.441	364.644	298.259	312.074
GLYMA_09G184000	10	20	25	0	1	4	0	0	0	0	0	0	0	0
GLYMA_09G184100	8	1	1	1	11	12.016	138.355	192.49	131.89	207.714	116.781	156.619	198.729	208.787
GLYMA_09G184200	144.987	62	64.022	46.001	128	104.998	123.833	120.296	114.375	133.162	112.01	90.624	137.4	154.019
GLYMA_09G184300	500.032	328.176	497.655	320.321	370.142	470.052	0	0	0	0	0	0	0	0
GLYMA_09G184400	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_09G184500	289.103	356.629	270.96	400.777	240.663	280.214	707.173	715.828	954.317	973.411	777.448	867.519	993.749	1056.638
ENSRNA050030689	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_09G184600	1017.257	2777.729	1389.872	2600.153	792.996	938.668	50	49	73	151	81	52	78	120
GLYMA_09G184700	661.492	503.884	396.196	436.812	516.064	481.004	342.066	359.042	349.304	429	487	363.998	389.002	415.016
GLYMA_09G184800	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GLYMA_09G184900	99.172	135.995	122	133.99	85.016	132.881	236.017	286.346	292.77	338.4	318.874	278.39	362.828	289.991
GLYMA_09G185000	362	399	250.842	274.88	280.577	322.337	369.494	395.524	391.568	367.019	398.103	440.954	419.149	466.167
GLYMA_09G185100	472.225	751.443	295.106	1507.957	344.698	403.44	451	590	849	773.591	393	554	1210	1220
GLYMA_09G185200	792.568	316	257.021	517.575	711.511	798.113	1310.868	1036	1139	1686.998	1143	1175	1147	1455.997
GLYMA_09G185300	2022.535	1899.798	1213.913	1924.281	1741.463	1862.887	349	326.05	411.025	572.072	406.112	324	365	492
GLYMA_09G185400	5	0	5	0	1	1	1	0	1	0	0	0	0	1
GLYMA_09G185500	124658.859	473.341	153.56	31	72400.829	120587.838	16	22	0	1	74	47	3	6
GLYMA_09G185600	188	210	95.014	141	182.505	175.18	90.996	119.001	153.001	159	114	136	156.084	201.995
GLYMA_09G185700	530.765	696.921	855.864	646.973	523.503	635.572	799.034	930.7	1012.565	1105.484	1012.945	1101.042	1184.825	1134.434
